"location","estimated_percentage_in_poverty"
"Afghanistan",79.21
"Albania",30.54
"Algeria",20.71
"American Samoa",11.99
"Andorra",3.98
"Angola",75.53
"Anguilla",7.36
"Antigua and Barbuda",6.55
"Argentina",16.12
"Armenia",24.94
"Aruba",2.5
"Australia",12.86
"Austria",8.23
"Azerbaijan",28.92
"The Bahamas",10.69
"Bahrain",2.1
"Bangladesh",52.38
"Barbados",3.97
"Belgium",3.93
"Belize",41.03
"Benin",66.36
"Bermuda",3.4
"Bhutan",82.64
"Bolivia",35.59
"Bosnia and Herzegovina",24.19
"Botswana",54.75
"Brazil",26.44
"British Virgin Islands",10.41
"Brunei",5.1
"Bulgaria",15.21
"Burkina Faso",88.69
"Burundi",92.46
"Byelarus",30.92
"Cambodia",85.67
"Cameroon",68.5
"Canada",7.37
"Cape Verde",37.23
"Cayman Islands",6.41
"Central African Republic",79.98
"Chad",85.06
"Chile",16.45
"China",43.53
"Cocos (Keeling) Islands",98.93
"Colombia",24.23
"Comoros",81.44
"Congo",43.83
"Congo, DRC",78.66
"Cook Islands",33.57
"Costa Rica",17.83
"Cote dâ€™Ivoire",55.01
"Croatia",12.7
"Cuba",33.4
"Cyprus",6.55
"Czechia",7.58
"Denmark",11.85
"Djibouti",53.03
"Dominica",47.5
"Dominican Republic",16.99
"East Timor",86.52
"Ecuador",26.58
"Egypt",3.28
"El Salvador",21.9
"Equatorial Guinea",65.37
"Eritrea",77.49
"Estonia",24.67
"Ethiopia",89.71
"Falkland Islands (Islas Malvinas)",37.29
"Faroe Islands",18.68
"Federated States of Micronesia",38.75
"Fiji",62.72
"Finland",9.77
"France",10.23
"French Guiana",23.64
"French Polynesia",17.19
"Gabon",38.18
"Gambia, The",61.14
"Gaza Strip",2.56
"Georgia",40.69
"Germany",8.37
"Ghana",56.07
"Gibraltar",2.3
"Greece",9.33
"Greenland",24.69
"Grenada",15.02
"Guadeloupe",5.32
"Guam",3.02
"Guatemala",35.17
"Guernsey",3.78
"Guinea",82.47
"Guinea-Bissau",80.53
"Guyana",35.72
"Haiti",78.61
"Honduras",43.87
"Hungary",9.54
"Iceland",9.26
"India",40.71
"Indonesia",31.63
"Iran",11.41
"Iraq",14.76
"Ireland",14.19
"Israel",2.73
"Italy",4.94
"Jamaica",9.14
"Japan",3.67
"Jersey",4.46
"Jordan",7.46
"Kazakhstan",32.69
"Kenya",74.93
"Kiribati",98.69
"Kuwait",2.06
"Kyrgyzstan",23.08
"Laos",80.56
"Latvia",32.85
"Lebanon",4.76
"Lesotho",74.75
"Liberia",85.5
"Libya",5.25
"Liechtenstein",3.53
"Lithuania",29.88
"Luxembourg",5.16
"Macau",2.02
"Macedonia",14.67
"Madagascar",87.06
"Malawi",80.62
"Malaysia",15.56
"Maldives",93.75
"Mali",78.72
"Malta",2.17
"Man, Isle of",7.82
"Marshall Islands",98.93
"Martinique",2.95
"Mauritania",65.63
"Mauritius",8.24
"Mayotte",26.39
"Mexico",13.93
"Moldova",34.6
"Monaco",2.18
"Mongolia",56.18
"Montenegro",25.44
"Montserrat",30.58
"Morocco",37.43
"Mozambique",79.19
"Myanmar (Burma)",77.13
"Namibia",61.02
"Nauru",17.09
"Nepal",73.7
"Netherlands",4.21
"Netherlands Antilles",3.71
"New Caledonia",48.37
"New Zealand",17.97
"Nicaragua",45.59
"Niger",82.2
"Nigeria",58.78
"Niue",75.74
"Norfolk Island",34.07
"North Korea",65.11
"Northern Mariana Islands",4.01
"Norway",13.41
"Oman",8.56
"Pacific Islands (Palau)",32.12
"Pakistan",20.71
"Panama",27.37
"Papua New Guinea",82.39
"Paraguay",33.18
"Peru",37.92
"Philippines",39.86
"Pitcairn Islands",98.93
"Poland",11.52
"Portugal",10.66
"Puerto Rico",3.17
"Qatar",2.39
"Reunion",5.3
"Romania",17.71
"Russia",20.16
"Rwanda",86.24
"San Marino",2.51
"Sao Tome and Principe",48.49
"Saudi Arabia",3.36
"Senegal",57.35
"Serbia",15.47
"Seychelles",7.76
"Sierra Leone",76.07
"Singapore",2.02
"Slovakia",10.93
"Slovenia",12
"Solomon Islands",97.74
"Somalia",78.41
"South Africa",34.28
"Korea, South",3.16
"Spain",9.43
"Sri Lanka",28.3
"St. Helena",59.16
"St. Kitts and Nevis",6.77
"St. Lucia",9.06
"St. Pierre and Miquelon",11.67
"St. Vincent and the Grenadines",13.81
"Sudan",69.51
"Suriname",17.39
"Swaziland",65.86
"Sweden",8.58
"Switzerland",4.61
"Syria",14.64
"Taiwan",2.93
"Tajikistan",27.16
"Tanzania",83.26
"Thailand",39.07
"Togo",71.29
"Tokelau",98.93
"Tonga",44.28
"Trinidad and Tobago",5.27
"Tunisia",21.5
"Turkey",24.52
"Turkmenistan",20.77
"Turks and Caicos Islands",25.72
"Tuvalu",37.35
"United Arab Emirates",2.18
"Uganda",84.24
"Ukraine",24.52
"United Kingdom",4.97
"US",6.08
"Uruguay",12.26
"Uzbekistan",14.7
"Vanuatu",86.41
"Venezuela",10.59
"Vietnam",36.83
"Virgin Islands",3.22
"Wallis and Futuna",87.93
"West Bank",4.59
"Western Sahara",11.86
"Western Samoa",59.5
"Yemen",58.23
"Zambia",67.21
"Zimbabwe",66.32
