"cluster_size","tmrca_date","mean_lag_estimate","ix","lag_lower_bound","lag_upper_bound"
1590,27,0.737228325116888,1,0,4
83,29,1.06739951187593,2,0,5
314,29,0.811125023850349,3,0,4
871,29,0.752239502128735,4,0,4
357,31,0.800033997770059,5,0,4
145,37,0.918447377740028,6,0,5
206,42,0.85940066186702,7,0,4
3,43,10.3568874472331,8,0,40
42,43,1.40746112379525,9,0,6
95,43,1.02339667428739,10,0,5
16,46,2.52613941422498,11,0,11
204,46,0.860776710372579,12,0,4
6,47,5.53796558076657,13,0,22
40,48,1.44188199427001,14,0,7
10,49,3.61039683417995,15,0,15
17,49,2.41983966717057,16,0,10
45,50,1.3615666298289,17,0,6
86,50,1.05524756544886,18,0,5
2,52,15.1758093136996,19,0,57
12,52,3.1285046475333,20,0,13
38,52,1.47992611426843,21,0,7
67,52,1.15058895607316,22,0,5
60,53,1.20093590094669,23,0,6
446,53,0.783872259588821,24,0,4
1865,53,0.734546948186789,25,0,4
9,54,3.93165829194439,26,0,16
40,54,1.44188199427001,27,0,7
11,55,3.34754655055451,28,0,14
16,55,2.52613941422498,29,0,11
53,55,1.26458203880568,30,0,6
646,55,0.763801502533469,31,0,4
2,56,15.1758093136996,32,0,57
8,56,4.33323511414993,33,0,17
11,56,3.34754655055451,34,0,14
12,56,3.1285046475333,35,0,13
35,56,1.5451446056943,36,0,7
2,57,15.1758093136996,37,0,57
3,57,10.3568874472331,38,0,40
3,57,10.3568874472331,39,0,40
10,57,3.61039683417995,40,0,15
13,57,2.94316149882305,41,0,12
80,57,1.08046285428502,42,0,5
260,57,0.830249603526184,43,0,4
268,57,0.826930024743314,44,0,4
8,58,4.33323511414993,45,0,17
42,58,1.40746112379525,46,0,6
217,58,0.852285793557173,47,0,4
7,59,4.84954817127135,48,0,19
11,59,3.34754655055451,49,0,14
54,59,1.25447947724076,50,0,6
233,59,0.843136122878571,51,0,4
545,59,0.772096065123518,52,0,4
3,60,10.3568874472331,53,0,40
10,60,3.61039683417995,54,0,15
10,60,3.61039683417995,55,0,15
18,60,2.32535100312221,56,0,10
38,60,1.47992611426843,57,0,7
43,60,1.39145141659769,58,0,6
2,61,15.1758093136996,59,0,57
2,61,15.1758093136996,60,0,57
2,61,15.1758093136996,61,0,57
2,61,15.1758093136996,62,0,57
3,61,10.3568874472331,63,0,40
4,61,7.94742651399983,64,0,31
4,61,7.94742651399983,65,0,31
4,61,7.94742651399983,66,0,31
5,61,6.50174995405987,67,0,25
16,61,2.52613941422498,68,0,11
37,61,1.50049050345677,69,0,7
40,61,1.44188199427001,70,0,7
78,61,1.08973001172054,71,0,5
129,61,0.943179615065919,72,0,5
164,61,0.895345733804907,73,0,4
236,61,0.84155867700681,74,0,4
2,62,15.1758093136996,75,0,57
2,62,15.1758093136996,76,0,57
3,62,10.3568874472331,77,0,40
3,62,10.3568874472331,78,0,40
5,62,6.50174995405987,79,0,25
6,62,5.53796558076657,80,0,22
7,62,4.84954817127135,81,0,19
7,62,4.84954817127135,82,0,19
19,62,2.24080851423683,83,0,9
21,62,2.09587853329047,84,0,9
137,62,0.930091387283969,85,0,5
165,62,0.894277236716998,86,0,4
222,62,0.849284845826156,87,0,4
2,63,15.1758093136996,88,0,57
2,63,15.1758093136996,89,0,57
3,63,10.3568874472331,90,0,40
4,63,7.94742651399983,91,0,31
6,63,5.53796558076657,92,0,22
6,63,5.53796558076657,93,0,22
7,63,4.84954817127135,94,0,19
10,63,3.61039683417995,95,0,15
10,63,3.61039683417995,96,0,15
15,63,2.64661246088665,97,0,11
29,63,1.71606203150001,98,0,8
53,63,1.26458203880568,99,0,6
136,63,0.931643208408851,100,0,5
197,63,0.865812908202567,101,0,4
369,63,0.79740016741331,102,0,4
416,63,0.788547395066378,103,0,4
521,63,0.774539935410972,104,0,4
2,64,15.1758093136996,105,0,57
2,64,15.1758093136996,106,0,57
2,64,15.1758093136996,107,0,57
2,64,15.1758093136996,108,0,57
3,64,10.3568874472331,109,0,40
3,64,10.3568874472331,110,0,40
4,64,7.94742651399983,111,0,31
11,64,3.34754655055451,112,0,14
17,64,2.41983966717057,113,0,10
18,64,2.32535100312221,114,0,10
21,64,2.09587853329047,115,0,9
42,64,1.40746112379525,116,0,6
53,64,1.26458203880568,117,0,6
64,64,1.17081763928127,118,0,5
90,64,1.04030517206447,119,0,5
95,64,1.02339667428739,120,0,5
139,64,0.927054730118733,121,0,5
4,65,7.94742651399983,122,0,31
10,65,3.61039683417995,123,0,15
13,65,2.94316149882305,124,0,12
45,65,1.3615666298289,125,0,6
77,65,1.09454411947924,126,0,5
90,65,1.04030517206447,127,0,5
93,65,1.02994189923336,128,0,5
101,65,1.00531630042676,129,0,5
161,65,0.898630864603134,130,0,4
2,66,15.1758093136996,131,0,57
2,66,15.1758093136996,132,0,57
2,66,15.1758093136996,133,0,57
2,66,15.1758093136996,134,0,57
6,66,5.53796558076657,135,0,22
6,66,5.53796558076657,136,0,22
8,66,4.33323511414993,137,0,17
13,66,2.94316149882305,138,0,12
26,66,1.83110260656154,139,0,8
65,66,1.16386727120464,140,0,5
81,66,1.07600088959385,141,0,5
83,66,1.06739951187593,142,0,5
90,66,1.04030517206447,143,0,5
114,66,0.972671180956167,144,0,5
349,66,0.801890508565934,145,0,4
2,67,15.1758093136996,146,0,57
2,67,15.1758093136996,147,0,57
2,67,15.1758093136996,148,0,57
3,67,10.3568874472331,149,0,40
7,67,4.84954817127135,150,0,19
7,67,4.84954817127135,151,0,19
9,67,3.93165829194439,152,0,16
22,67,2.03329513242727,153,0,9
44,67,1.37616942336365,154,0,6
46,67,1.34759874036089,155,0,6
2,68,15.1758093136996,156,0,57
2,68,15.1758093136996,157,0,57
4,68,7.94742651399983,158,0,31
4,68,7.94742651399983,159,0,31
4,68,7.94742651399983,160,0,31
5,68,6.50174995405987,161,0,25
6,68,5.53796558076657,162,0,22
6,68,5.53796558076657,163,0,22
7,68,4.84954817127135,164,0,19
9,68,3.93165829194439,165,0,16
24,68,1.92377418091667,166,0,8
41,68,1.42425179231953,167,0,6
47,68,1.3342252291681,168,0,6
86,68,1.05524756544886,169,0,5
248,68,0.83563053365003,170,0,4
2,69,15.1758093136996,171,0,57
2,69,15.1758093136996,172,0,57
2,69,15.1758093136996,173,0,57
3,69,10.3568874472331,174,0,40
4,69,7.94742651399983,175,0,31
4,69,7.94742651399983,176,0,31
5,69,6.50174995405987,177,0,25
6,69,5.53796558076657,178,0,22
6,69,5.53796558076657,179,0,22
8,69,4.33323511414993,180,0,17
10,69,3.61039683417995,181,0,15
12,69,3.1285046475333,182,0,13
38,69,1.47992611426843,183,0,7
40,69,1.44188199427001,184,0,7
41,69,1.42425179231953,185,0,6
59,69,1.20910356512714,186,0,6
65,69,1.16386727120464,187,0,5
74,69,1.1097671088784,188,0,5
77,69,1.09454411947924,189,0,5
94,69,1.02663447173407,190,0,5
99,69,1.01109958499497,191,0,5
111,69,0.979525977352278,192,0,5
2,70,15.1758093136996,193,0,57
2,70,15.1758093136996,194,0,57
2,70,15.1758093136996,195,0,57
2,70,15.1758093136996,196,0,57
2,70,15.1758093136996,197,0,57
2,70,15.1758093136996,198,0,57
2,70,15.1758093136996,199,0,57
2,70,15.1758093136996,200,0,57
2,70,15.1758093136996,201,0,57
3,70,10.3568874472331,202,0,40
3,70,10.3568874472331,203,0,40
4,70,7.94742651399983,204,0,31
5,70,6.50174995405987,205,0,25
5,70,6.50174995405987,206,0,25
6,70,5.53796558076657,207,0,22
6,70,5.53796558076657,208,0,22
11,70,3.34754655055451,209,0,14
12,70,3.1285046475333,210,0,13
13,70,2.94316149882305,211,0,12
15,70,2.64661246088665,212,0,11
16,70,2.52613941422498,213,0,11
17,70,2.41983966717057,214,0,10
17,70,2.41983966717057,215,0,10
20,70,2.16472027423999,216,0,9
22,70,2.03329513242727,217,0,9
27,70,1.78991524018149,218,0,8
28,70,1.75166982854286,219,0,8
31,70,1.65173826910001,220,0,7
49,70,1.30911577958165,221,0,6
58,70,1.21755287290002,222,0,6
60,70,1.20093590094669,223,0,6
60,70,1.20093590094669,224,0,6
71,70,1.12627654808594,225,0,5
72,70,1.12062053650558,226,0,5
81,70,1.07600088959385,227,0,5
267,70,0.827334093321753,228,0,4
2,71,15.1758093136996,229,0,57
2,71,15.1758093136996,230,0,57
2,71,15.1758093136996,231,0,57
2,71,15.1758093136996,232,0,57
2,71,15.1758093136996,233,0,57
3,71,10.3568874472331,234,0,40
5,71,6.50174995405987,235,0,25
5,71,6.50174995405987,236,0,25
5,71,6.50174995405987,237,0,25
6,71,5.53796558076657,238,0,22
6,71,5.53796558076657,239,0,22
6,71,5.53796558076657,240,0,22
7,71,4.84954817127135,241,0,19
7,71,4.84954817127135,242,0,19
9,71,3.93165829194439,243,0,16
9,71,3.93165829194439,244,0,16
9,71,3.93165829194439,245,0,16
11,71,3.34754655055451,246,0,14
11,71,3.34754655055451,247,0,14
13,71,2.94316149882305,248,0,12
14,71,2.78429594278569,249,0,12
18,71,2.32535100312221,250,0,10
22,71,2.03329513242727,251,0,9
29,71,1.71606203150001,252,0,8
31,71,1.65173826910001,253,0,7
42,71,1.40746112379525,254,0,6
48,71,1.32140894760835,255,0,6
50,71,1.29731433827602,256,0,6
60,71,1.20093590094669,257,0,6
78,71,1.08973001172054,258,0,5
101,71,1.00531630042676,259,0,5
3,72,10.3568874472331,260,0,40
3,72,10.3568874472331,261,0,40
4,72,7.94742651399983,262,0,31
6,72,5.53796558076657,263,0,22
6,72,5.53796558076657,264,0,22
10,72,3.61039683417995,265,0,15
12,72,3.1285046475333,266,0,13
21,72,2.09587853329047,267,0,9
25,72,1.875584962252,268,0,8
31,72,1.65173826910001,269,0,7
32,72,1.62259156426251,270,0,7
43,72,1.39145141659769,271,0,6
2,73,15.1758093136996,272,0,57
2,73,15.1758093136996,273,0,57
2,73,15.1758093136996,274,0,57
3,73,10.3568874472331,275,0,40
3,73,10.3568874472331,276,0,40
3,73,10.3568874472331,277,0,40
5,73,6.50174995405987,278,0,25
9,73,3.93165829194439,279,0,16
9,73,3.93165829194439,280,0,16
10,73,3.61039683417995,281,0,15
11,73,3.34754655055451,282,0,14
16,73,2.52613941422498,283,0,11
17,73,2.41983966717057,284,0,10
17,73,2.41983966717057,285,0,10
26,73,1.83110260656154,286,0,8
26,73,1.83110260656154,287,0,8
31,73,1.65173826910001,288,0,7
34,73,1.5694416907353,289,0,7
41,73,1.42425179231953,290,0,6
48,73,1.32140894760835,291,0,6
50,73,1.29731433827602,292,0,6
97,73,1.01712135552477,293,0,5
118,73,0.964073639713586,294,0,5
2,74,15.1758093136996,295,0,57
2,74,15.1758093136996,296,0,57
2,74,15.1758093136996,297,0,57
3,74,10.3568874472331,298,0,40
3,74,10.3568874472331,299,0,40
3,74,10.3568874472331,300,0,40
3,74,10.3568874472331,301,0,40
4,74,7.94742651399983,302,0,31
4,74,7.94742651399983,303,0,31
4,74,7.94742651399983,304,0,31
5,74,6.50174995405987,305,0,25
7,74,4.84954817127135,306,0,19
7,74,4.84954817127135,307,0,19
8,74,4.33323511414993,308,0,17
8,74,4.33323511414993,309,0,17
9,74,3.93165829194439,310,0,16
10,74,3.61039683417995,311,0,15
19,74,2.24080851423683,312,0,9
19,74,2.24080851423683,313,0,9
20,74,2.16472027423999,314,0,9
29,74,1.71606203150001,315,0,8
30,74,1.68282808759334,316,0,7
36,74,1.52219735871112,317,0,7
37,74,1.50049050345677,318,0,7
39,74,1.46041630914104,319,0,7
44,74,1.37616942336365,320,0,6
44,74,1.37616942336365,321,0,6
65,74,1.16386727120464,322,0,5
93,74,1.02994189923336,323,0,5
104,74,0.99705843736541,324,0,5
2,75,15.1758093136996,325,0,57
2,75,15.1758093136996,326,0,57
2,75,15.1758093136996,327,0,57
2,75,15.1758093136996,328,0,57
2,75,15.1758093136996,329,0,57
3,75,10.3568874472331,330,0,40
3,75,10.3568874472331,331,0,40
3,75,10.3568874472331,332,0,40
3,75,10.3568874472331,333,0,40
3,75,10.3568874472331,334,0,40
3,75,10.3568874472331,335,0,40
3,75,10.3568874472331,336,0,40
3,75,10.3568874472331,337,0,40
3,75,10.3568874472331,338,0,40
3,75,10.3568874472331,339,0,40
4,75,7.94742651399983,340,0,31
4,75,7.94742651399983,341,0,31
5,75,6.50174995405987,342,0,25
5,75,6.50174995405987,343,0,25
6,75,5.53796558076657,344,0,22
6,75,5.53796558076657,345,0,22
6,75,5.53796558076657,346,0,22
7,75,4.84954817127135,347,0,19
7,75,4.84954817127135,348,0,19
8,75,4.33323511414993,349,0,17
13,75,2.94316149882305,350,0,12
15,75,2.64661246088665,351,0,11
20,75,2.16472027423999,352,0,9
22,75,2.03329513242727,353,0,9
23,75,1.97615376642174,354,0,9
25,75,1.875584962252,355,0,8
28,75,1.75166982854286,356,0,8
50,75,1.29731433827602,357,0,6
56,75,1.23535677142145,358,0,6
2,76,15.1758093136996,359,0,57
2,76,15.1758093136996,360,0,57
2,76,15.1758093136996,361,0,57
2,76,15.1758093136996,362,0,57
3,76,10.3568874472331,363,0,40
3,76,10.3568874472331,364,0,40
3,76,10.3568874472331,365,0,40
3,76,10.3568874472331,366,0,40
3,76,10.3568874472331,367,0,40
3,76,10.3568874472331,368,0,40
4,76,7.94742651399983,369,0,31
4,76,7.94742651399983,370,0,31
4,76,7.94742651399983,371,0,31
5,76,6.50174995405987,372,0,25
5,76,6.50174995405987,373,0,25
5,76,6.50174995405987,374,0,25
6,76,5.53796558076657,375,0,22
6,76,5.53796558076657,376,0,22
6,76,5.53796558076657,377,0,22
7,76,4.84954817127135,378,0,19
7,76,4.84954817127135,379,0,19
7,76,4.84954817127135,380,0,19
7,76,4.84954817127135,381,0,19
11,76,3.34754655055451,382,0,14
12,76,3.1285046475333,383,0,13
12,76,3.1285046475333,384,0,13
14,76,2.78429594278569,385,0,12
16,76,2.52613941422498,386,0,11
16,76,2.52613941422498,387,0,11
18,76,2.32535100312221,388,0,10
19,76,2.24080851423683,389,0,9
23,76,1.97615376642174,390,0,9
24,76,1.92377418091667,391,0,8
30,76,1.68282808759334,392,0,7
60,76,1.20093590094669,393,0,6
71,76,1.12627654808594,394,0,5
2,77,15.1758093136996,395,0,57
2,77,15.1758093136996,396,0,57
2,77,15.1758093136996,397,0,57
2,77,15.1758093136996,398,0,57
2,77,15.1758093136996,399,0,57
2,77,15.1758093136996,400,0,57
2,77,15.1758093136996,401,0,57
2,77,15.1758093136996,402,0,57
2,77,15.1758093136996,403,0,57
2,77,15.1758093136996,404,0,57
2,77,15.1758093136996,405,0,57
2,77,15.1758093136996,406,0,57
2,77,15.1758093136996,407,0,57
2,77,15.1758093136996,408,0,57
3,77,10.3568874472331,409,0,40
3,77,10.3568874472331,410,0,40
3,77,10.3568874472331,411,0,40
3,77,10.3568874472331,412,0,40
4,77,7.94742651399983,413,0,31
4,77,7.94742651399983,414,0,31
4,77,7.94742651399983,415,0,31
4,77,7.94742651399983,416,0,31
4,77,7.94742651399983,417,0,31
4,77,7.94742651399983,418,0,31
5,77,6.50174995405987,419,0,25
6,77,5.53796558076657,420,0,22
6,77,5.53796558076657,421,0,22
6,77,5.53796558076657,422,0,22
7,77,4.84954817127135,423,0,19
7,77,4.84954817127135,424,0,19
7,77,4.84954817127135,425,0,19
7,77,4.84954817127135,426,0,19
8,77,4.33323511414993,427,0,17
8,77,4.33323511414993,428,0,17
9,77,3.93165829194439,429,0,16
9,77,3.93165829194439,430,0,16
9,77,3.93165829194439,431,0,16
9,77,3.93165829194439,432,0,16
10,77,3.61039683417995,433,0,15
10,77,3.61039683417995,434,0,15
11,77,3.34754655055451,435,0,14
12,77,3.1285046475333,436,0,13
14,77,2.78429594278569,437,0,12
15,77,2.64661246088665,438,0,11
16,77,2.52613941422498,439,0,11
18,77,2.32535100312221,440,0,10
19,77,2.24080851423683,441,0,9
22,77,2.03329513242727,442,0,9
23,77,1.97615376642174,443,0,9
25,77,1.875584962252,444,0,8
29,77,1.71606203150001,445,0,8
34,77,1.5694416907353,446,0,7
41,77,1.42425179231953,447,0,6
2,78,15.1758093136996,448,0,57
2,78,15.1758093136996,449,0,57
2,78,15.1758093136996,450,0,57
2,78,15.1758093136996,451,0,57
2,78,15.1758093136996,452,0,57
2,78,15.1758093136996,453,0,57
2,78,15.1758093136996,454,0,57
2,78,15.1758093136996,455,0,57
2,78,15.1758093136996,456,0,57
2,78,15.1758093136996,457,0,57
2,78,15.1758093136996,458,0,57
2,78,15.1758093136996,459,0,57
3,78,10.3568874472331,460,0,40
3,78,10.3568874472331,461,0,40
3,78,10.3568874472331,462,0,40
3,78,10.3568874472331,463,0,40
3,78,10.3568874472331,464,0,40
3,78,10.3568874472331,465,0,40
3,78,10.3568874472331,466,0,40
3,78,10.3568874472331,467,0,40
4,78,7.94742651399983,468,0,31
4,78,7.94742651399983,469,0,31
4,78,7.94742651399983,470,0,31
4,78,7.94742651399983,471,0,31
4,78,7.94742651399983,472,0,31
4,78,7.94742651399983,473,0,31
5,78,6.50174995405987,474,0,25
5,78,6.50174995405987,475,0,25
5,78,6.50174995405987,476,0,25
5,78,6.50174995405987,477,0,25
5,78,6.50174995405987,478,0,25
5,78,6.50174995405987,479,0,25
6,78,5.53796558076657,480,0,22
6,78,5.53796558076657,481,0,22
7,78,4.84954817127135,482,0,19
7,78,4.84954817127135,483,0,19
8,78,4.33323511414993,484,0,17
8,78,4.33323511414993,485,0,17
8,78,4.33323511414993,486,0,17
8,78,4.33323511414993,487,0,17
9,78,3.93165829194439,488,0,16
9,78,3.93165829194439,489,0,16
10,78,3.61039683417995,490,0,15
11,78,3.34754655055451,491,0,14
13,78,2.94316149882305,492,0,12
14,78,2.78429594278569,493,0,12
14,78,2.78429594278569,494,0,12
15,78,2.64661246088665,495,0,11
15,78,2.64661246088665,496,0,11
18,78,2.32535100312221,497,0,10
20,78,2.16472027423999,498,0,9
21,78,2.09587853329047,499,0,9
22,78,2.03329513242727,500,0,9
23,78,1.97615376642174,501,0,9
24,78,1.92377418091667,502,0,8
25,78,1.875584962252,503,0,8
30,78,1.68282808759334,504,0,7
31,78,1.65173826910001,505,0,7
35,78,1.5451446056943,506,0,7
47,78,1.3342252291681,507,0,6
2,79,15.1758093136996,508,0,57
2,79,15.1758093136996,509,0,57
2,79,15.1758093136996,510,0,57
2,79,15.1758093136996,511,0,57
2,79,15.1758093136996,512,0,57
2,79,15.1758093136996,513,0,57
2,79,15.1758093136996,514,0,57
2,79,15.1758093136996,515,0,57
2,79,15.1758093136996,516,0,57
2,79,15.1758093136996,517,0,57
2,79,15.1758093136996,518,0,57
2,79,15.1758093136996,519,0,57
2,79,15.1758093136996,520,0,57
2,79,15.1758093136996,521,0,57
2,79,15.1758093136996,522,0,57
2,79,15.1758093136996,523,0,57
3,79,10.3568874472331,524,0,40
3,79,10.3568874472331,525,0,40
3,79,10.3568874472331,526,0,40
3,79,10.3568874472331,527,0,40
3,79,10.3568874472331,528,0,40
3,79,10.3568874472331,529,0,40
3,79,10.3568874472331,530,0,40
4,79,7.94742651399983,531,0,31
4,79,7.94742651399983,532,0,31
4,79,7.94742651399983,533,0,31
4,79,7.94742651399983,534,0,31
4,79,7.94742651399983,535,0,31
5,79,6.50174995405987,536,0,25
6,79,5.53796558076657,537,0,22
6,79,5.53796558076657,538,0,22
6,79,5.53796558076657,539,0,22
6,79,5.53796558076657,540,0,22
7,79,4.84954817127135,541,0,19
7,79,4.84954817127135,542,0,19
10,79,3.61039683417995,543,0,15
10,79,3.61039683417995,544,0,15
11,79,3.34754655055451,545,0,14
18,79,2.32535100312221,546,0,10
21,79,2.09587853329047,547,0,9
26,79,1.83110260656154,548,0,8
86,79,1.05524756544886,549,0,5
2,80,15.1758093136996,550,0,57
2,80,15.1758093136996,551,0,57
2,80,15.1758093136996,552,0,57
2,80,15.1758093136996,553,0,57
2,80,15.1758093136996,554,0,57
2,80,15.1758093136996,555,0,57
2,80,15.1758093136996,556,0,57
2,80,15.1758093136996,557,0,57
2,80,15.1758093136996,558,0,57
3,80,10.3568874472331,559,0,40
3,80,10.3568874472331,560,0,40
3,80,10.3568874472331,561,0,40
3,80,10.3568874472331,562,0,40
3,80,10.3568874472331,563,0,40
3,80,10.3568874472331,564,0,40
4,80,7.94742651399983,565,0,31
4,80,7.94742651399983,566,0,31
4,80,7.94742651399983,567,0,31
5,80,6.50174995405987,568,0,25
6,80,5.53796558076657,569,0,22
8,80,4.33323511414993,570,0,17
10,80,3.61039683417995,571,0,15
12,80,3.1285046475333,572,0,13
13,80,2.94316149882305,573,0,12
14,80,2.78429594278569,574,0,12
15,80,2.64661246088665,575,0,11
22,80,2.03329513242727,576,0,9
2,81,15.1758093136996,577,0,57
2,81,15.1758093136996,578,0,57
2,81,15.1758093136996,579,0,57
2,81,15.1758093136996,580,0,57
2,81,15.1758093136996,581,0,57
2,81,15.1758093136996,582,0,57
2,81,15.1758093136996,583,0,57
2,81,15.1758093136996,584,0,57
2,81,15.1758093136996,585,0,57
2,81,15.1758093136996,586,0,57
2,81,15.1758093136996,587,0,57
2,81,15.1758093136996,588,0,57
2,81,15.1758093136996,589,0,57
2,81,15.1758093136996,590,0,57
2,81,15.1758093136996,591,0,57
3,81,10.3568874472331,592,0,40
3,81,10.3568874472331,593,0,40
