Location	02/02/2020	09/02/2020	16/02/2020	23/02/2020	01/03/2020	08/03/2020	15/03/2020	22/03/2020	29/03/2020	05/04/2020	12/04/2020	19/04/2020	26/04/2020	03/05/2020	10/05/2020	17/05/2020	24/05/2020	31/05/2020	07/06/2020	14/06/2020	21/06/2020	Overall
ABERDEEN	0	0	0	0	1.25	1.91	1.6	0.69	0	0	0	0	0	0	0	0	0	0	0	0	0	2.871649625
ABERDEENSHIRE	0	0	0	0	0	0	0	0	0.78	0.75	0.69	0	0	0	0	0	0	0	0	0	0	1.036198785
ANGLESEY	0	0	0	0	0	0	0	0	1.47	1.38	1.59	0.68	1.15	1.57	1.07	1.14	0.61	0.63	0	0	0	2.302101341
ANGUS	0	0	0	0	0	0	0	0	2.02	1.71	1.5	0.01	0	0	0.29	0	0	0	0	0	0	1.694786444
ANTRIM	0	0	0	0	0	1.33	1.75	2.81	2.55	2.97	2.2	1.8	1.79	0	0	0	0	0	0	0	0	3.359857268
ARGYLL AND BUTE	0	0	0	0	0	0	0	0	0	0	0	1.61	0	0	0	0	0	0	0	0	0	1.732867951
ARMAGH	0	0	0	0	0	0	0.69	2.29	0	0	0	0	0	0	0	0	0	0	0	0	0	2.488327743
BEDFORDSHIRE	0	0	0	0	0.64	1.68	2.48	2.97	3.95	4.09	3.18	2.44	1.38	1.1	0	0	0	0	0	0	0	4.228159389
BERKSHIRE	0	0	0	0	0	0	0	1.3	0	0	1.79	1.78	0	0	0	0	0	0	0	0	0	2.510529247
BLAENAU GWENT	0	0	0	0	0	0	0	0	2.43	2.47	1.91	1.56	0.63	1.05	0	0	0	0	0	0	0	3.146357355
BRIDGEND	0	0	0	0	0	0	0	1.78	3	2.88	2.3	1.79	2.19	1.54	1.6	0	0	0.69	0	0	0	3.778659528
BRISTOL	0	0	0	0.69	2.38	0.69	0	0	0	0	0.64	0	0	0	0	0	0	0	0	0	0	2.659322698
BUCKINGHAMSHIRE	0	0	0	0	0	1.72	2.82	2.62	3.54	3.46	3.31	2.94	2.43	1.39	0	0	0	0	0	0	0	3.844235051
CAERPHILLY	0	0	0	0	0	0	0	0.64	2.53	2.58	2.16	2.47	2.52	1.79	1.24	1.24	0.95	0	0	0	0	3.233189991
CAMBRIDGESHIRE	0	0	0	1.01	2.32	2.71	3.14	3.58	4.07	3.99	3.36	3.21	3.33	2.56	1.89	1.73	1.38	1.23	0.94	0.73	0	4.427686169
CARDIFF	0	0	0	0	0	0	0	1.58	3.61	3.51	3.17	2.95	2.1	0.78	0.79	0.69	1.31	1	0.45	0	0	3.355281172
CARMARTHENSHIRE	0	0	0	0	0	0	0	1.22	3.16	2.95	2.1	2.16	1.75	1.37	1.43	1.47	0.64	0	0	0	0	3.195523719
CEREDIGION	0	0	0	0	0	0	0	0	1.79	1.79	1.1	0	0	0	0	0	0	0	0	0	0	2.685945325
CHESHIRE	0	0	0	0	0.69	0	0	0	1.1	0.58	1.39	1.1	0	0.69	0	0	2.19	1.04	0	0	0	2.932904098
CLACKMANNANSHIRE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.386294361
CLWYD	0	0	0	0	0	0	0	1.34	2.46	2.49	2.01	1.75	2.7	2.02	2.21	2	1.84	1.48	0.69	0	0	2.636433143
CORNWALL	0	0	0	0	0.68	0	0.64	0	0.64	0.69	1.39	0.64	0	0	0	0	0	0	0	0	0	2.002058727
CUMBRIA	0	0	0	0	0.69	1.33	0	0	1.33	0	0	0.26	0.86	1.38	1.19	0	0.64	0	1.1	0	0	1.513196928
DERBYSHIRE	0	0	0	0	0.64	1.14	0	2.1	0	0	0	0	0	0	0	0.69	0	0	0	0	0	2.604012424
DEVON	0	0	0	0.01	1.59	1.79	1.79	3.1	2.92	2.85	3.06	2.86	2.92	2.39	1.09	0	0	0.64	0	0	0	3.790409925
DORSET	0	0	0	0	0	0.69	1.47	3.14	2.8	2.2	2.03	0.74	0.56	1.05	0	0	0	0	0	0	0	3.2570091
DOWN	0	0	0	0	0	1.39	1.76	3.03	0.68	1.96	1.98	1.35	1.81	0	0	0	0	0	0	0	0	2.933449763
DUMFRIES AND GALLOWAY	0	0	0	0	0	0	2.17	2.64	2.01	0.97	0.64	0.58	0	0	0.69	0	0	0	0	0	0	2.940234804
DUNDEE	0	0	0	0	0	2.47	0	2.52	2.32	1.56	1.59	1.35	0.29	0.64	1.02	1.26	0	0	0	0	0	2.427308856
DURHAM	0	0	0	0	0	1.33	1.88	2.98	3.12	0	0	0.69	1.38	1.09	1.56	0	0	0	0	0	0	3.329988411
EAST AYRSHIRE	0	0	0	0	0.69	1.53	2.38	2.69	1.1	0.69	1.56	1.1	0	0	1.43	0.95	0.64	0	0	0	0	3.266586054
EAST DUNBARTONSHIRE	0	0	0	0	0	0	0	0	0	1.5	2.25	1.46	0	0.69	1.33	0.86	1.39	0.69	0	0	0	2.102781699
EAST LOTHIAN	0	0	0	0	0	0	0.69	1.94	1.79	1.89	1.77	1.79	0.98	1.1	1.32	0.77	0	0	0	0	0	2.992113863
EAST RENFREWSHIRE	0	0	0	0	0	0	0	0	0	0	1.61	1.86	0	0	0.96	0.64	0	0	0	0	0	2.101207642
EAST RIDING OF YORKSHIRE	0	0	0	0	1.02	0	0	0	1.25	0	0	1.04	0.69	0	0.69	0	0	0	0	0	0	2.008365758
EDINBURGH	0	0	0	0	1.21	2.86	2.68	3.19	3.5	3.25	2.95	3.25	2.96	2.63	1.92	1.75	0.95	0.98	1.24	0.64	0	4.121870701
EILEAN SIAR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESSEX	0	0	0	0	1.33	3.2	2.97	3.73	4.39	4.3	3.92	3.62	3.42	2.81	2.57	2.38	2.19	1.65	0.43	0	0	4.487317587
FALKIRK	0	0	0	0	0.33	1.16	1.74	2.53	0.69	1.68	1.39	2.16	1.7	1.39	0	0	0	0	0	0	0	3.099474302
FERMANAGH	0	0	0	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.386294361
FIFE	0	0	0	0	0.69	1.61	2.1	1.77	1.75	1.1	0.69	0.64	0.69	0	0.69	0	0	0	0	0	0	3.106098594
GLASGOW	0	0	0	0	1.21	2.63	3.18	3.77	3.26	2.89	2.84	2.82	2.63	2.1	2.13	2.21	1.56	1.04	0	0	0	3.626744331
GLOUCESTERSHIRE	0	0	0	0	0.69	1.73	2.61	3.18	3.72	3.98	3.36	2.99	2.75	2.55	2.01	0.58	0	0	0	0	0	4.099826052
GREATER LONDON	0	0	0	2.92	3.21	3.96	3.4	4.07	4.56	4.38	4.08	3.77	3.54	3.07	1.83	1.79	0	1.61	0	0	0	4.619245824
GREATER MANCHESTER	0	0	0	0.69	2.71	1.39	0	0	0	0.69	0	0	0	0	0	0	0	0	0	0	0	2.892889449
GWYNEDD	0	0	0	0	0	0	0	0	0.69	2.58	2.26	0.97	2.22	1.58	0.37	1.07	0.27	0.68	0	0	0	2.732325518
HAMPSHIRE	0	0	0	1	2.26	1.69	1.5	2.42	3.05	1.74	2.73	3.22	2.54	2.15	0.84	0.69	0	1.1	0	0	0	3.565191102
HEREFORDSHIRE	0	0	0	0	0	0	0	0	0	0	0	0	1.32	1.66	1.55	1.52	1.13	1.04	0	0	0	2.047009166
HERTFORDSHIRE	0	0	0	1.03	1.42	2.46	2.82	3.37	4.55	4.51	3.92	3.61	3.21	2.32	1.84	1.54	1.04	0	0	0	0	4.773307334
HIGHLAND	0	0	0	0	0	0.64	0	1.38	0.69	0	0	0	0	0	0	0	0	0	0	0	0	2.025326221
INVERCLYDE	0	0	0	0	0	0	0	0	0	0.64	1.35	1.13	0	0	0	0	0	0	0	0	0	1.320086004
ISLE OF WIGHT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KENT	0	0	0	0	0.62	0	0	0	1.1	1.07	0	0	0	0	0	0	0	0	0	0	0	1.902667991
LANCASHIRE	0	0	0	0	1.1	0.66	0	0	0	1.39	1.09	0.87	0	0	0	0	1.9	1.46	0	0	0	2.874650552
LEICESTERSHIRE	0	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0.93	2.09	1.86	1.99	0	2.372393744
LINCOLNSHIRE	0	0	0	0	0	1.39	0	0	0	0.69	1.39	0.03	1.94	2.29	0	0	0	0	0	0	0	2.944438979
LONDONDERRY	0	0	0	0	0	0	0.69	1.29	0.69	1.39	0.72	1.1	0	0	0	0	0	0	0	0	0	2.259065077
MERSEYSIDE	0	0	0	0.64	2.79	1.87	1.39	3.04	3.75	3.94	3.47	3.19	2.91	1.82	0.95	0	1.1	1.63	1.39	0	0	4.368094634
MERTHYR TYDFIL	0	0	0	0	0	0	0	0.69	1.96	2.64	2.1	1.67	1.23	0.68	0.41	0.76	0.64	0	0.64	0	0	2.541633773
MIDLOTHIAN	0	0	0	0	0	0.69	0.68	1.6	2.29	2.41	2.35	2.41	2.86	2.29	1.88	1.13	0.76	0	0	0	0	3.588659525
MONMOUTHSHIRE	0	0	0	0	0	0	0	0	1.99	2	1.82	1.79	1.48	1.1	0.68	0.61	1.1	0	0	0	0	2.573450775
MORAY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEATH PORT TALBOT	0	0	0	0	0	0	0	0	2.14	2.83	2.84	2.57	1.94	0	1.56	0.69	0	0	0	0	0	3.525176211
NEWPORT	0	0	0	0	0	0	0	0.95	2.69	2.38	1.64	0.96	2.07	1.72	1.1	0	1.04	0	0	0	0	2.922753415
NORFOLK	0	0	0	0	0	1.56	0	0	0	3.05	3.16	3.11	2.95	2.94	2.36	2.38	1.72	1.91	0	0	0	3.438332759
NORTH AYRSHIRE	0	0	0	0	0	0	0	0	0	0	0.95	0.69	0	0	0	0.69	0	0	0	0	0	1.801892401
NORTH LANARKSHIRE	0	0	0	0	0	1.13	2.24	3.18	2.87	2.06	2.39	2.32	1.67	2.01	0.51	0.84	0.69	0	0	0	0	3.148427997
NORTH YORKSHIRE	0	0	0	0	0	0.64	1.93	2.42	2.7	2.6	2.75	0	0	1.38	1.86	0.54	0	0	0	0	0	3.221790592
NORTHAMPTONSHIRE	0	0	0	0	0.69	0.61	0	0.69	1.33	1.68	1.04	0	0	0	0	0	0	0	0	0	0	2.55084356
NORTHUMBERLAND	0	0	0	0	0	0.69	2.18	2.88	3.15	0.69	0	0	0.69	0	0	0	0	0	0	0	0	3.195641281
NOTTINGHAM	0	0	0	0	0.01	1.92	2.58	3.19	3.55	3.33	2.63	2.27	2.62	2.12	1.75	2.02	1.51	1.99	1.68	0.69	0	3.660606759
NOTTINGHAMSHIRE	0	0	0	0	0	1.3	1.1	2.22	2.48	0	0	0.69	1.49	0	0	0	0	0	0	0	0	2.84116147
ORKNEY ISLANDS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OXFORDSHIRE	0	0	0	0	1.56	0	1.06	0.86	0.69	3.39	1.31	0	0.69	0	0	0	0	0	0	0	0	3.471786102
PEMBROKESHIRE	0	0	0	0	0	0	0	0.69	1.99	2.64	1.1	0.8	1.79	0	0	0	0	0	0	0	0	2.767977207
PERTHSHIRE AND KINROSS	0	0	0	0	0	0	1.33	2.14	1.83	1.66	1.01	1.28	0.01	0	0.67	0	0	0	0	0	0	2.669183649
PLYMOUTH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POWYS	0	0	0	0	0	0	0	0	2.45	2.12	1.83	1.46	2.38	1.56	1.54	0	0.63	0	0	0	0	3.400315085
RENFREWSHIRE	0	0	0	0	0	1.33	1.74	2.27	2.13	2.72	2.47	2.53	1.47	1.36	1.55	1.08	0	0	0	0	0	2.810757296
"RHONDDA, CYNON, TAFF"	0	0	0	0	0	0	0	2.79	3.19	3.17	2.84	2.38	2.78	1.65	1.32	1.8	1.36	0.03	0.69	0	0	3.063357306
SCOTTISH BORDERS	0	0	0	0	0	1.61	1.61	1.58	1.66	1.2	1.04	1.01	0.67	1.1	0	0.5	0	0	0	0	0	2.123542471
SHETLAND ISLANDS	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SHROPSHIRE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69	0.69	0	0	0	0	0	0	1.560710409
SOMERSET	0	0	0	0	0	1.39	3.02	3.68	4.03	3.54	3.37	2.38	2.51	2.3	1.12	0.8	0.45	0.88	0	0	0	3.930583776
SOUTH AYRSHIRE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	1.04	0	0	0	0	1.549826046
SOUTH LANARKSHIRE	0	0	0	0	0	0	0	0	0.69	1.61	0.95	2.1	0	0	1.47	1.92	1.61	0	0	0	0	2.539790594
SOUTH YORKSHIRE	0	0	0	2.39	2.22	1.75	2.61	3.87	3.62	3.16	2.77	2.96	2.21	1.55	1.52	1.46	1.49	1.59	0.66	1.04	0	3.68456154
STAFFORDSHIRE	0	0	0	0	0	2.04	1.38	0	0	0	0.04	0.65	1.34	0	1.75	0.71	0.95	0.65	0	0	0	2.414363121
STIRLING	0	0	0	0	0	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0.96089198
STOKE-ON-TRENT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUFFOLK	0	0	0	0	0	1.1	2.14	1.53	3.13	2.94	3.11	3.06	3.04	2.23	2.31	2.06	1.77	1.73	1.04	0	0	3.571627056
SURREY	0	0	0	0	0	0.67	1	2.31	0.95	2.22	1.6	0	1.55	1.03	0	0	0	0	0	0	0	2.7762179
SUSSEX	1.08	0	0	0	0	0	0	0.69	0	0	0	1.59	0	0	0.56	0	0	0	0	0	0	2.347437588
SWANSEA	0	0	0	0	0	0	0	1.1	3.23	3.43	3.18	2.55	2.5	1.55	1.73	1.13	0.69	0	0	0	0	3.874118512
TORFAEN	0	0	0	0	0	0	0	1.04	2.65	2.78	1.35	0.69	1.61	0	1.1	0	0	0	0	0	0	3.173681859
TYNE AND WEAR	0	0	0	0	1.98	1.44	2.82	3.27	3.46	1.76	0	0	0	1.39	0	0.96	0	0	0	0	0	3.249157463
TYRONE	0	0	0	0	0	1.1	0	1.58	1.1	1.1	0	0.69	0	0	0	0	0	0	0	0	0	2.305657338
VALE OF GLAMORGAN	0	0	0	0	0	0	0	1.1	2.97	3.13	2.7	1.48	1.64	1.22	1.45	0.64	0.41	0	0.56	0	0	3.102034506
WARWICKSHIRE	0	0	0	0	0	0	0	0	0.64	0.66	0	0	0	0	0	0	0	0	0	0	0	2.304619385
WEST DUNBARTONSHIRE	0	0	0	0	0	0	0	0	0	0.69	1.94	2.17	0	0	1.1	0.01	1.05	0	0	0	0	2.631405332
WEST LOTHIAN	0	0	0	0	0	0.69	1.59	2.48	2.1	2.16	1.33	2.1	1.45	1.57	0.83	0.56	0	0.69	0	0	0	3.00293843
WEST MIDLANDS	0	0	0	0.56	2.79	2.34	1.1	2.36	0.69	0	2.02	1.51	2.56	2.69	1.64	0.94	1.58	1.53	1.32	0	0	3.462511563
WEST YORKSHIRE	0	0	0	0.69	1.99	0	0	0	0.11	0.69	0	0.69	0	0	0	0	0	0	0	0	0	2.630554954
WILTSHIRE	0	0	0	0	0	1.39	2.2	2.84	3.06	3	2.76	2.47	2.22	1.42	1.28	0	0	0.69	0	0	0	3.429711414
WORCESTERSHIRE	0	0	0	0	0	1.35	0	0	0	0	0	0	0.69	0	1.16	0	0	0	0	0	0	1.830685529